TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/08/18
TIME,18:55:55
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  499.4729
LASTX, 4200.2010
NPOINTS,    3839
FIRSTY,    64.22946
MAXY,   100.08702
MINY,    64.22946
XYDATA
499.4729,64.2295
500.4372,73.5521
501.4014,87.6568
502.3656,97.5824
503.3299,99.9415
504.2941,97.1854
505.2583,93.2854
506.2226,91.1171
507.1868,91.6827
508.1510,94.0259
509.1153,96.1274
510.0795,96.5741
511.0437,95.3986
512.0080,93.5465
512.9722,91.9983
513.9365,91.2405
514.9007,91.0867
515.8649,90.8305
516.8292,89.7892
517.7934,87.8978
518.7576,85.7201
519.7219,83.9034
520.6861,82.735
521.6503,82.1214
522.6146,81.81
523.5788,81.6092
524.5430,81.4809
525.5073,81.4927
526.4715,81.6998
527.4357,82.0675
528.4000,82.494
529.3642,82.8774
530.3284,83.1498
531.2927,83.2705
532.2569,83.2241
533.2211,83.0464
534.1854,82.8508
535.1496,82.8058
536.1138,83.0512
537.0781,83.6024
538.0423,84.3194
539.0065,84.9765
539.9708,85.3945
540.9350,85.5409
541.8992,85.5244
542.8635,85.4951
543.8277,85.5286
544.7919,85.5767
545.7562,85.5152
546.7204,85.2533
547.6846,84.8227
548.6489,84.3792
549.6131,84.1155
550.5773,84.1421
551.5416,84.4138
552.5058,84.7443
553.4700,84.9
554.4343,84.724
555.3985,84.2245
556.3627,83.585
557.3270,83.0912
558.2912,83.0112
559.2554,83.4759
560.2197,84.4014
561.1839,85.4868
562.1481,86.3188
563.1124,86.5637
564.0766,86.1438
565.0408,85.2817
566.0051,84.385
566.9693,83.8434
567.9335,83.8345
568.8978,84.2318
569.8620,84.6941
570.8262,84.9021
571.7905,84.7648
572.7547,84.4384
573.7189,84.1751
574.6832,84.1394
575.6474,84.3166
576.6116,84.5695
577.5759,84.789
578.5401,84.9936
579.5043,85.283
580.4686,85.6978
581.4328,86.1217
582.3970,86.3201
583.3613,86.1019
584.3255,85.4784
585.2897,84.6847
586.2540,84.0459
587.2182,83.8024
588.1824,84.0083
589.1467,84.5316
590.1109,85.1254
591.0751,85.5387
592.0394,85.6302
593.0036,85.4326
593.9678,85.122
594.9321,84.9101
595.8963,84.9316
596.8605,85.1819
597.8248,85.5212
598.7890,85.7409
599.7532,85.6752
600.7175,85.3008
601.6817,84.7561
602.6459,84.2681
603.6102,84.0413
604.5744,84.1764
605.5386,84.6451
606.5029,85.3114
607.4671,85.9795
608.4313,86.455
609.3956,86.6102
610.3598,86.436
611.3240,86.0467
612.2883,85.6241
613.2525,85.329
614.2167,85.2363
615.1810,85.3224
616.1452,85.5053
617.1094,85.7047
618.0737,85.8826
619.0379,86.0327
620.0021,86.1427
620.9664,86.1787
621.9306,86.1121
622.8948,85.9607
623.8591,85.8014
624.8233,85.7316
625.7875,85.8002
626.7518,85.966
627.7160,86.1207
628.6802,86.1624
629.6445,86.0656
630.6087,85.9018
631.5729,85.8028
632.5372,85.8875
633.5014,86.193
634.4656,86.6443
635.4299,87.0832
636.3941,87.35
637.3583,87.3742
638.3226,87.2161
639.2868,87.0266
640.2510,86.9522
641.2153,87.0457
642.1795,87.2398
643.1437,87.3993
644.1080,87.4186
645.0722,87.2977
646.0364,87.1428
647.0007,87.0949
647.9649,87.2382
648.9291,87.5495
649.8934,87.924
650.8576,88.2534
651.8218,88.4912
652.7861,88.6526
653.7503,88.7669
654.7145,88.8355
655.6788,88.8347
656.6430,88.7543
657.6072,88.6312
658.5715,88.5437
659.5357,88.5683
660.4999,88.7302
661.4642,88.9855
662.4284,89.2576
663.3926,89.4907
664.3569,89.6666
665.3211,89.7823
666.2853,89.8152
667.2496,89.7046
668.2138,89.4118
669.1780,89.0491
670.1423,88.804
671.1065,88.7274
672.0707,88.7621
673.0350,88.8473
673.9992,88.9508
674.9634,89.0663
675.9277,89.2024
676.8919,89.3625
677.8561,89.5244
678.8204,89.6385
679.7846,89.6518
680.7488,89.5438
681.7131,89.3481
682.6773,89.1417
683.6415,89.0019
684.6058,88.9663
685.5700,89.0217
686.5342,89.123
687.4985,89.2252
688.4627,89.3082
689.4269,89.3801
690.3912,89.4624
691.3554,89.5697
692.3196,89.6984
693.2839,89.8299
694.2481,89.9383
695.2123,89.9992
696.1766,89.9956
697.1408,89.9258
698.1050,89.8112
699.0693,89.699
700.0335,89.6523
700.9977,89.7256
701.9620,89.9365
702.9262,90.2483
703.8904,90.5789
704.8547,90.8373
705.8189,90.973
706.7831,91.0064
707.7474,91.0186
708.7116,91.1037
709.6758,91.3109
710.6401,91.6112
711.6043,91.906
712.5685,92.076
713.5328,92.0466
714.4970,91.8293
715.4612,91.5101
716.4255,91.2009
717.3897,90.9884
718.3539,90.9023
719.3182,90.9058
720.2824,90.9146
721.2466,90.8438
722.2109,90.6556
723.1751,90.3734
724.1393,90.0587
725.1036,89.7775
726.0678,89.5725
727.0320,89.4482
727.9963,89.3746
728.9605,89.3079
729.9247,89.2183
730.8890,89.1064
731.8532,88.999
732.8174,88.9292
733.7817,88.9166
734.7459,88.9604
735.7101,89.0474
736.6744,89.1639
737.6386,89.3
738.6028,89.4456
739.5671,89.5853
740.5313,89.7018
741.4955,89.7885
742.4598,89.8608
743.4240,89.9523
744.3882,90.0953
745.3525,90.2962
746.3167,90.5243
747.2809,90.7231
748.2452,90.84
749.2094,90.8557
750.1736,90.7971
751.1379,90.7253
752.1021,90.7073
753.0663,90.7852
754.0306,90.9595
754.9948,91.1914
