TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/08/18
TIME,18:32:39
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  499.4729
LASTX, 4200.2010
NPOINTS,    3839
FIRSTY,   500.00000
MAXY,   500.00000
MINY,    -0.00000
XYDATA
499.4729,520.799
500.4372,-1.17549E-038
501.4014,-1.17549E-038
502.3656,-1.17549E-038
503.3299,-1.17549E-038
504.2941,145.522
505.2583,64.3598
506.2226,48.253
507.1868,49.896
508.1510,60.7677
509.1153,76.061
510.0795,88.0967
511.0437,89.8524
512.0080,83.807
512.9722,77.2813
513.9365,73.8384
514.9007,73.5075
515.8649,75.2461
516.8292,77.9684
517.7934,80.6759
518.7576,82.4423
519.7219,82.6651
520.6861,81.4404
521.6503,79.511
522.6146,77.7994
523.5788,77.0242
524.5430,77.5348
525.5073,79.2105
526.4715,81.4327
527.4357,83.3102
528.4000,84.1474
529.3642,83.8026
530.3284,82.6549
531.2927,81.3158
532.2569,80.3477
533.2211,80.1002
534.1854,80.6362
535.1496,81.7166
536.1138,82.8579
537.0781,83.5156
538.0423,83.372
539.0065,82.5484
539.9708,81.5373
540.9350,80.9008
541.8992,80.9695
542.8635,81.6944
543.8277,82.6681
544.7919,83.316
545.7562,83.2332
546.7204,82.4786
547.6846,81.551
548.6489,81.0222
549.6131,81.1351
550.5773,81.6627
551.5416,82.0846
552.5058,81.9565
553.4700,81.2229
554.4343,80.2399
555.3985,79.5146
556.3627,79.4013
557.3270,79.9533
558.2912,80.959
559.2554,82.0823
560.2197,83.0021
561.1839,83.4784
562.1481,83.3636
563.1124,82.633
564.0766,81.4496
565.0408,80.1761
566.0051,79.2659
566.9693,79.0756
567.9335,79.6966
568.8978,80.8865
569.8620,82.1535
570.8262,82.9914
571.7905,83.123
572.7547,82.5694
573.7189,81.5388
574.6832,80.2995
575.6474,79.137
576.6116,78.3452
577.5759,78.1655
578.5401,78.6688
579.5043,79.6574
580.4686,80.686
581.4328,81.2617
582.3970,81.1458
583.3613,80.5144
584.3255,79.8123
585.2897,79.4424
586.2540,79.5511
587.2182,80.0088
588.1824,80.5323
589.1467,80.8614
590.1109,80.8973
591.0751,80.7264
592.0394,80.5178
593.0036,80.3869
593.9678,80.3416
594.9321,80.3345
595.8963,80.3471
596.8605,80.4242
597.8248,80.6326
598.7890,80.982
599.7532,81.3762
600.7175,81.6513
601.6817,81.6901
602.6459,81.5237
603.6102,81.3293
604.5744,81.3166
605.5386,81.5891
606.5029,82.0746
607.4671,82.571
608.4313,82.8867
609.3956,82.9766
610.3598,82.9672
611.3240,83.0505
612.2883,83.3402
613.2525,83.798
614.2167,84.2619
615.1810,84.5468
616.1452,84.5587
617.1094,84.347
618.0737,84.0508
619.0379,83.7853
620.0021,83.5712
620.9664,83.3528
621.9306,83.0708
622.8948,82.7365
623.8591,82.4605
624.8233,82.4049
625.7875,82.6685
626.7518,83.1738
627.7160,83.6411
628.6802,83.6989
629.6445,83.0989
630.6087,81.9071
631.5729,80.5201
632.5372,79.4792
633.5014,79.2122
634.4656,79.8465
635.4299,81.1639
636.3941,82.7103
637.3583,84.0261
638.3226,84.8661
639.2868,85.2542
640.2510,85.3519
641.2153,85.2822
642.1795,85.0574
643.1437,84.6406
644.1080,84.0584
645.0722,83.4596
646.0364,83.0692
647.0007,83.0775
647.9649,83.5341
648.9291,84.3065
649.8934,85.1333
650.8576,85.7563
651.8218,86.0501
652.7861,86.0628
653.7503,85.9531
654.7145,85.8828
655.6788,85.9303
656.6430,86.0667
657.6072,86.2001
658.5715,86.2524
659.5357,86.2179
660.4999,86.1656
661.4642,86.1814
662.4284,86.2985
663.3926,86.4789
664.3569,86.6434
665.3211,86.7066
666.2853,86.6063
667.2496,86.3627
668.2138,86.1603
669.1780,86.2309
670.1423,86.5501
671.1065,86.9149
672.0707,87.2042
673.0350,87.4121
673.9992,87.5834
674.9634,87.7602
675.9277,87.9386
676.8919,88.0534
677.8561,88.0199
678.8204,87.8141
679.7846,87.521
680.7488,87.3117
681.7131,87.3571
682.6773,87.7309
683.6415,88.3577
684.6058,89.0383
685.5700,89.5389
686.5342,89.7005
687.4985,89.5154
688.4627,89.1256
689.4269,88.745
690.3912,88.5536
691.3554,88.6252
692.3196,88.9164
693.2839,89.3077
694.2481,89.6687
695.2123,89.9156
696.1766,90.0394
697.1408,90.0991
698.1050,90.1877
699.0693,90.3864
700.0335,90.7249
700.9977,91.1612
701.9620,91.5891
702.9262,91.8769
703.8904,91.93
704.8547,91.7465
705.8189,91.4314
706.7831,91.1536
707.7474,91.0701
708.7116,91.2622
709.6758,91.7134
710.6401,92.3265
711.6043,92.9637
712.5685,93.4922
713.5328,93.8254
714.4970,93.9474
715.4612,93.91
716.4255,93.8054
717.3897,93.7305
718.3539,93.7525
719.3182,93.8831
720.2824,94.0758
721.2466,94.2617
722.2109,94.4043
723.1751,94.5239
724.1393,94.6725
725.1036,94.8858
726.0678,95.1478
727.0320,95.3894
727.9963,95.5222
728.9605,95.4886
729.9247,95.2927
730.8890,94.9917
731.8532,94.6591
732.8174,94.3515
733.7817,94.0984
734.7459,93.9133
735.7101,93.8069
736.6744,93.7871
737.6386,93.8406
738.6028,93.9127
739.5671,93.908
740.5313,93.7275
741.4955,93.3299
742.4598,92.7767
743.4240,92.2223
744.3882,91.844
745.3525,91.7545
746.3167,91.9458
747.2809,92.2941
748.2452,92.6248
749.2094,92.8037
750.1736,92.8007
751.1379,92.6842
752.1021,92.5563
753.0663,92.4801
754.0306,92.4488
