TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/04/20
TIME,15:48:20
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,TRANSMITTANCE
FIRSTX,  499.4729
LASTX, 4200.2010
NPOINTS,    3839
FIRSTY,    62.68340
MAXY,   102.63933
MINY,    -0.00000
XYDATA
499.4729,62.6834
500.4372,4.47695
501.4014,-1.17549E-038
502.3656,-1.17549E-038
503.3299,-1.17549E-038
504.2941,-1.17549E-038
505.2583,-1.17549E-038
506.2226,-1.17549E-038
507.1868,19.2899
508.1510,62.012
509.1153,85.2024
510.0795,94.2124
511.0437,93.6247
512.0080,87.6
512.9722,79.5367
513.9365,71.7285
514.9007,65.7536
515.8649,62.9703
516.8292,64.2802
517.7934,69.3924
518.7576,76.5967
519.7219,83.4831
520.6861,87.9555
521.6503,88.843
522.6146,86.0938
523.5788,80.7624
524.5430,74.7127
525.5073,69.8838
526.4715,67.4126
527.4357,67.2589
528.4000,68.5459
529.3642,70.2139
530.3284,71.5387
531.2927,72.3341
532.2569,72.8416
533.2211,73.42
534.1854,74.2311
535.1496,75.1208
536.1138,75.751
537.0781,75.8681
538.0423,75.4993
539.0065,74.9259
539.9708,74.4597
540.9350,74.2172
541.8992,74.0774
542.8635,73.8512
543.8277,73.5096
544.7919,73.2728
545.7562,73.4775
546.7204,74.3228
547.6846,75.6786
548.6489,77.0903
549.6131,77.9873
550.5773,77.9859
551.5416,77.0988
552.5058,75.7206
553.4700,74.4201
554.4343,73.688
555.3985,73.7542
556.3627,74.5084
557.3270,75.5334
558.2912,76.2711
559.2554,76.2846
560.2197,75.4847
561.1839,74.1834
562.1481,72.9416
563.1124,72.3011
564.0766,72.5318
565.0408,73.5134
566.0051,74.8054
566.9693,75.8714
567.9335,76.3347
568.8978,76.1217
569.8620,75.435
570.8262,74.6171
571.7905,74.0132
572.7547,73.877
573.7189,74.2998
574.6832,75.1471
575.6474,76.0603
576.6116,76.5956
577.5759,76.469
578.5401,75.7377
579.5043,74.7712
580.4686,74.0391
581.4328,73.8638
582.3970,74.2767
583.3613,75.0424
584.3255,75.8257
585.2897,76.3778
586.2540,76.6133
587.2182,76.5645
588.1824,76.3118
589.1467,75.9656
590.1109,75.6818
591.0751,75.6383
592.0394,75.9366
593.0036,76.4941
593.9678,77.0465
594.9321,77.2961
595.8963,77.1059
596.8605,76.603
597.8248,76.1143
598.7890,75.9641
599.7532,76.2548
600.7175,76.7875
601.6817,77.1905
602.6459,77.1625
603.6102,76.6526
604.5744,75.8677
605.5386,75.1331
606.5029,74.719
607.4671,74.7333
608.4313,75.1136
609.3956,75.6881
610.3598,76.2557
611.3240,76.6553
612.2883,76.814
613.2525,76.7639
614.2167,76.6261
615.1810,76.5624
616.1452,76.707
617.1094,77.0919
618.0737,77.6076
619.0379,78.0402
620.0021,78.1818
620.9664,77.951
621.9306,77.456
622.8948,76.97
623.8591,76.8021
624.8233,77.0928
625.7875,77.648
626.7518,77.9603
627.7160,77.464
628.6802,75.9016
629.6445,73.5816
630.6087,71.3358
631.5729,70.1416
632.5372,70.6071
633.5014,72.6367
634.4656,75.4886
635.4299,78.1833
636.3941,80.0072
637.3583,80.8047
638.3226,80.8987
639.2868,80.7541
640.2510,80.6614
641.2153,80.6502
642.1795,80.6241
643.1437,80.5461
644.1080,80.5076
645.0722,80.6441
646.0364,80.9985
647.0007,81.4583
647.9649,81.8176
648.9291,81.9148
649.8934,81.7383
650.8576,81.4169
651.8218,81.1145
652.7861,80.9304
653.7503,80.8742
654.7145,80.9042
655.6788,80.9778
656.6430,81.0772
657.6072,81.204
658.5715,81.3634
659.5357,81.5527
660.4999,81.7561
661.4642,81.9435
662.4284,82.0749
663.3926,82.1086
664.3569,82.0098
665.3211,81.7629
666.2853,81.4141
667.2496,81.1577
668.2138,81.3338
669.1780,82.0483
670.1423,82.9086
671.1065,83.5161
672.0707,83.7833
673.0350,83.795
673.9992,83.6818
674.9634,83.581
675.9277,83.5977
676.8919,83.7521
677.8561,83.9677
678.8204,84.1302
679.7846,84.171
680.7488,84.1095
681.7131,84.0342
682.6773,84.0421
683.6415,84.1769
684.6058,84.4076
685.5700,84.6553
686.5342,84.8416
687.4985,84.9292
688.4627,84.9331
689.4269,84.9026
690.3912,84.8886
691.3554,84.9163
692.3196,84.9786
693.2839,85.0484
694.2481,85.0992
695.2123,85.1215
696.1766,85.1266
697.1408,85.1357
698.1050,85.1634
699.0693,85.207
700.0335,85.251
700.9977,85.2843
701.9620,85.3178
702.9262,85.3858
703.8904,85.5253
704.8547,85.7426
705.8189,85.9919
706.7831,86.1862
707.7474,86.2437
708.7116,86.1429
709.6758,85.9501
710.6401,85.7965
711.6043,85.8125
712.5685,86.0545
713.5328,86.4698
714.4970,86.9259
715.4612,87.285
716.4255,87.4698
717.3897,87.485
718.3539,87.3954
719.3182,87.2851
720.2824,87.2165
721.2466,87.2121
722.2109,87.2642
723.1751,87.3557
724.1393,87.4647
725.1036,87.5555
726.0678,87.5754
727.0320,87.4754
727.9963,87.2469
728.9605,86.9447
729.9247,86.6684
730.8890,86.5107
731.8532,86.5078
732.8174,86.6254
733.7817,86.7875
734.7459,86.921
735.7101,86.9868
736.6744,86.9775
737.6386,86.8963
738.6028,86.7441
739.5671,86.527
740.5313,86.2734
741.4955,86.039
742.4598,85.8852
743.4240,85.8461
744.3882,85.9063
745.3525,86.0071
746.3167,86.0772
747.2809,86.0704
748.2452,85.9929
749.2094,85.9074
750.1736,85.911
751.1379,86.0868
752.1021,86.4466
753.0663,86.893
